序號,國別,片名,上映日,總金額,總票數,首週票房,tmdb_id,imdb_id,tmdb_title,tmdb_original_title,tmdb_release_date,original_language,genres,popularity,vote_average,vote_count,runtime,production_countries,match_status,match_note
262,美國,喪屍未逝,2025-12-19,16590,83,10880,535581,tt8695030,喪屍未逝,The Dead Don't Die,2019-05-15,en,喜剧|恐怖,3.3801,5.429,2841,104,US|SE|JP,matched,
263,葡萄牙,里斯本記憶迷宮,2025-12-19,14360,73,0,285697,tt3907156,里斯本記憶迷宮,Cavalo Dinheiro,2014-08-13,pt,剧情,0.2026,7.2,50,104,PT,matched,
265,美國,阿凡達：火與燼,2025-12-17,492289656,1290123,135372768,83533,tt1757678,阿凡達：火與燼,Avatar: Fire and Ash,2025-12-17,en,科幻|冒险|奇幻,155.0351,7.434,2982,198,US,matched,
266,馬來西亞,地母,2025-12-15,1488695,6240,488661,1367555,tt33708662,地母,Ibu Bhumi,2025-12-19,ms,剧情|历史,2.0471,8.1,5,129,IT|MY|HK|SA,matched,
267,日本,天使之卵,2025-12-14,6671132,23921,0,15916,tt0208502,天使之卵,天使のたまご,1985-12-22,ja,动画|奇幻|悬疑,3.697,7.711,573,71,JP,matched,
268,日本,東京計程車,2025-12-14,1852784,7767,573292,1422404,tt35521394,東京計程車,TOKYOタクシー,2025-11-21,ja,剧情,2.1225,7.875,12,103,JP,matched,
270,越南,甕靈,2025-12-12,2167116,8095,406526,1466131,tt36414938,甕靈,Út Lan: Oán Linh Giữ Của,2025-06-20,vi,恐怖,1.5351,6.5,2,111,VN,matched,
271,美國,玩命中繼站,2025-12-12,2061100,8693,205192,1088166,tt11539996,玩命中繼站,Relay,2025-08-21,en,动作|剧情|惊悚,4.4641,6.929,406,112,US|GB,matched,
272,日本,OFFICIAL HIGE DANDISM LIVE at STADIUM 2025,2025-12-12,1446406,2769,167850,1583662,tt38753518,劇場版 OFFICIAL HIGE DANDISM LIVE at STADIUM 2025,劇場版 OFFICIAL HIGE DANDISM LIVE at STADIUM 2025,2025-10-17,ja,音乐|纪录,0.0809,0.0,0,0,JP,matched,
273,香港,眾生相,2025-12-12,1111511,4463,236209,999689,tt35453155,眾生相,眾生相,2025-11-26,cn,剧情,0.6412,7.8,3,87,HK|US,matched,
274,日本,寶島,2025-12-12,155324,615,13500,1293968,tt38119721,寶島,宝島,2025-09-19,ja,剧情,1.1105,8.0,6,191,JP|US,matched,
275,中華民國,那張照片裡的我們,2025-12-10,9078842,34547,512960,1088140,tt38893262,那張照片裡的我們,那張照片裡的我們,2025-12-24,zh,爱情|历史,1.2915,0.0,0,126,TW,matched,
276,日本,Scarlet永無止境的史嘉蕾,2025-12-10,1570822,5305,117439,1406657,tt35114460,Scarlet永無止境的史嘉蕾,果てしなきスカーレット,2025-11-21,ja,动画|动作|剧情|科幻,9.1713,7.3,87,112,JP|US,matched,
278,日本,旅與日子,2025-12-06,734088,3161,277460,1462735,tt37538491,旅與日子,旅と日々,2025-11-07,ja,剧情,2.2808,7.7,11,89,JP,matched,
279,中華民國,南半球最璀璨的星星,2025-12-06,381590,1702,131800,1586505,,南半球最璀璨的星星,南半球最璀璨的星星,2025-09-14,zh,纪录,0.0071,0.0,0,107,TW,matched_without_imdb_id,
280,中華民國,螳螂,2025-12-06,158525,712,61505,1267319,tt33312131,殺手螳螂,사마귀,2025-09-25,ko,动作|犯罪|惊悚,8.175,6.4,163,113,KR,matched,
281,美國,佛萊迪餐館之五夜驚魂 2,2025-12-05,7106466,25867,2206569,1228246,tt30274401,佛萊迪餐館之五夜驚魂2,Five Nights at Freddy's 2,2025-12-03,en,恐怖|惊悚,21.4673,6.669,922,104,US,matched,
282,日本,劇場版 BanG Dream! It's MyGO!!!!! 前篇：春暖向陽，迷星之貓,2025-12-05,6007246,19078,933850,1231799,tt36808553,劇場版 BanG Dream! It's MyGO!!!!! 前篇：春暖向陽，迷星之貓,BanG Dream! It's MyGO!!!!! 前編：春の陽だまり、迷い猫,2024-09-27,ja,动画|音乐,0.8516,10.0,1,118,JP,matched,
283,美國,康斯坦汀：驅魔神探,2025-12-05,3252386,11655,705215,561,tt0360486,康斯坦汀：驅魔神探,Constantine,2005-02-08,en,奇幻|动作|恐怖,18.2201,7.138,8016,121,DE|US,matched,
284,中華民國,大風之島,2025-12-05,1313674,5781,228967,1127662,tt37388324,大風之島,大風之島,2025-12-05,zh,纪录,0.1792,0.0,0,119,TW|JP|FR,matched,
286,日本,純潔龐克 發條少女,2025-12-05,779005,4943,211030,1360829,tt33384612,純潔龐克發條少女,ヴァージン・パンク Clockwork Girl,2025-06-27,ja,动画|动作|科幻,4.7791,6.882,17,36,JP,matched,
287,日本,群山淡景,2025-12-05,716476,3186,146659,1337985,tt33253688,群山淡景,遠い山なみの光,2025-09-05,ja,剧情|历史,3.1277,7.8,15,123,JP|GB|PL|SG,matched,
288,日本,草莓月亮:餘命半年的約定,2025-12-05,332350,1421,53348,1502700,tt38753563,草莓月亮：餘命半年的約定,ストロベリームーン 余命半年の恋,2025-10-17,ja,爱情|剧情,1.3677,0.0,0,120,JP,matched,
289,韓國,自然有話說,2025-12-05,81946,358,15680,1418849,tt35499025,自然有話說,그 자연이 네게 뭐라고 하니,2025-05-14,ko,剧情,1.1985,7.0,11,109,KR,matched,
290,美國,奮力一戰,2025-12-05,73180,286,3317,1505267,tt29228399,奮力一戰,The Correction Unit,2025-12-05,en,科幻|惊悚,0.8567,2.7,3,96,GB,matched,
291,韓國,MONSTA X：CONNECT X IN CINEMAS,2025-12-03,939600,1497,0,1565552,tt38787920,몬스타엑스 : 커넥트엑스 인 시네마,몬스타엑스 : 커넥트엑스 인 시네마,2025-12-03,ko,音乐|纪录,0.3189,0.0,0,118,KR,matched,
292,中國大陸,默殺,2025-12-03,229292,941,51624,1019828,tt22171834,默殺：無聲之地,默殺：無聲之地,2024-10-18,zh,犯罪|惊悚,1.1311,7.1,9,105,MY|SG|TW,matched,
294,美國,換乘真愛,2025-11-28,4786395,18193,965063,1259102,tt24950660,換乘真愛,Eternity,2025-11-26,en,爱情|喜剧|剧情,9.2211,7.0,639,114,US,matched,
295,英國,限時營救,2025-11-28,2012542,8610,321393,1448560,tt36153493,限時營救,Wildcat,2025-11-19,en,动作|惊悚,17.0376,6.212,158,99,GB,matched,
296,日本,浮世繪女兒,2025-11-28,622839,2689,138223,1469857,tt37675771,浮世繪女兒,おーい、応為,2025-10-17,ja,剧情|历史,1.0229,7.917,6,122,JP,matched,
297,日本,奇蹟鳳仙花,2025-11-28,554143,2192,338800,1294972,tt36639400,奇蹟鳳仙花,ホウセンカ,2025-10-10,ja,动画|剧情|犯罪,0.8551,7.8,6,75,JP,matched,
301,日本,攀岳人生,2025-11-28,135147,588,16675,1239521,tt32126891,攀岳人生,ライフ・イズ・クライミング！,2023-05-12,ja,纪录|冒险,0.1968,0.0,0,89,JP,matched,
304,中華民國,大濛,2025-11-27,110748710,420576,14464932,1174334,tt32080855,大濛,大濛,2025-11-27,zh,冒险|剧情,2.523,7.3,15,134,TW,matched,
305,美國,動物方城市2,2025-11-25,756686258,2605840,186778208,1084242,tt26443597,動物方城市2,Zootopia 2,2025-11-26,en,冒险|动画|喜剧|家庭|悬疑,93.8295,7.626,2721,108,US|CA,matched,
306,法國,撤離倒數13天,2025-11-23,403742,2309,160550,1254135,tt28291010,撤離倒數13天,"13 Jours, 13 Nuits",2025-06-27,fr,战争|动作|惊悚,2.7425,6.682,220,111,FR|BE,matched,
309,日本,銀魂劇場版 2D 歌舞伎町四天王篇,2025-11-21,1874554,6620,416404,1560677,tt35819808,銀魂劇場版2D 歌舞伎町四天王篇,銀魂オンシアター2D かぶき町四天王篇,2025-02-21,ja,动画|动作|科幻|喜剧|奇幻,0.4283,0.0,0,105,JP,matched,
310,韓國,誰想當老大,2025-11-21,1292441,5947,210432,1053231,tt31645750,誰想當老大,보스,2025-10-03,ko,喜剧|动作,1.46,6.0,10,99,KR,matched,
311,日本,As One 星與翼的悖論,2025-11-21,534293,1738,208432,1446746,tt36857472,星與翼的悖論,アズワン／AS ONE,2025-08-22,ja,动画|科幻,0.4406,1.0,1,91,JP|TW,matched,
312,日本,溫泉鯊,2025-11-21,409178,1690,35109,1225293,tt28297050,溫泉鯊,温泉シャーク,2024-07-05,ja,恐怖|喜剧|动作,0.6628,7.286,7,77,JP,matched,
313,西班牙,隱藏殺機,2025-11-21,119209,508,17770,1292315,tt32379198,隱藏殺機,Parecido a un asesinato,2025-10-03,es,惊悚,0.4101,6.1,25,111,ES|AR,matched,
314,美國,魔法壞女巫：第二部,2025-11-19,41785221,136147,9590911,967941,tt19847976,魔法壞女巫：第二部,Wicked: For Good,2025-11-19,en,奇幻|冒险|爱情,11.7435,6.637,969,137,US,matched,
315,新加坡,好孩子,2025-11-19,558341,2317,52210,1287782,tt38637298,好孩子,好孩子,2025-10-09,zh,剧情,0.5575,8.5,2,105,SG,matched,
316,韓國,j-hope Tour 'HOPE ON THE STAGE' THE MOVIE,2025-11-16,1109015,2029,47425,1555417,tt38573874,제이홉 투어 '홉 온 더 스테이지' 더 무비,제이홉 투어 '홉 온 더 스테이지' 더 무비,2025-11-12,ko,纪录|音乐,0.8316,10.0,1,90,KR,matched,
317,中華民國,解碼,2025-11-16,596507,2402,268635,1198724,,解碼,解碼,2025-11-21,zh,爱情|悬疑|动作|惊悚,0.352,0.0,0,102,MY|TW,matched_without_imdb_id,
318,英國,出神入化 3,2025-11-14,77311725,275935,20434727,425274,tt4712810,出神入化3,Now You See Me: Now You Don't,2025-11-12,en,犯罪|惊悚,39.6319,6.517,1469,113,US,matched,
319,韓國,放飛旅行團,2025-11-14,1920338,7718,416151,1290183,tt38644831,放飛旅行團,퍼스트 라이드,2025-10-29,ko,喜剧|剧情|冒险,1.9847,6.8,10,117,KR,matched,
320,日本,HIKARU UTADA SCIENCE FICTION TOUR 2024,2025-11-14,542640,1223,109040,1354550,tt35822407,HIKARU UTADA SCIENCE FICTION TOUR 2024,HIKARU UTADA SCIENCE FICTION TOUR 2024,2024-11-20,ja,音乐,0.2566,10.0,2,151,JP,matched,
321,韓國,嚇午4點,2025-11-14,398453,1607,37408,1095848,tt25383302,嚇午4點,오후 네시,2024-10-23,ko,惊悚,0.7125,5.5,6,109,KR,matched,
323,斯洛維尼亞,花漾少女心,2025-11-14,67926,295,12427,1019871,tt28834646,花漾少女心,Kaj ti je deklica,2025-08-29,sl,剧情|爱情,2.7026,7.0,16,90,HR|SI|RS|IT,matched,
324,美國,逃亡遊戲,2025-11-12,12886208,46825,2930487,798645,tt14107334,逃亡遊戲,The Running Man,2025-11-11,en,动作|惊悚|科幻,34.5218,6.765,1491,134,US|GB,matched,
325,日本,劇場版 咒術迴戰 澀谷事變×死滅迴游 先行上映,2025-11-09,28580302,100713,9039854,1539104,tt38121182,劇場版 咒術迴戰 澀谷事變x死滅迴游 先行上映,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,2025-11-07,ja,动画|动作|奇幻,28.697,5.975,99,88,JP,matched,
326,日本,無名の人生,2025-11-09,449702,1521,0,1441453,tt36639420,無名の人生,無名の人生,2025-05-16,ja,动画|剧情,0.7267,0.0,0,93,JP,matched,
327,日本,等待鋼琴家的時光,2025-11-08,4355,21,2540,1370520,,等待鋼琴家的時光,ピアニストを待ちながら,2024-10-12,ja,剧情,0.568,0.0,0,61,JP,matched_without_imdb_id,
328,中華民國,自殺通告,2025-11-07,4837758,17498,1188814,1543753,tt38349157,自殺通告,自殺通告,2025-11-07,zh,剧情|悬疑,1.4534,6.8,4,117,HK|TW|GB,matched,
329,美國,去死吧，親愛的,2025-11-07,2477465,9393,544893,1033148,tt9362736,去死吧，親愛的,Die My Love,2025-10-06,en,剧情,9.5946,6.163,514,119,US,matched,
331,日本,機動戰士鋼彈 鐵血孤兒 追尋兀爾德 -小小挑戰者的軌跡-,2025-11-07,1379348,4873,254579,1520936,tt38828026,機動戰士鋼彈 鐵血孤兒 追尋兀爾德 -小小挑戰者的軌跡-,機動戦士ガンダム 鉄血のオルフェンズ ウルズハント -小さな挑戦者の軌跡-,2025-10-31,ja,动作|动画|科幻,0.8647,5.5,2,78,JP,matched,
333,日本,愉快動物餅 大電影,2025-11-07,781453,3203,163522,1329578,tt35995292,愉快動物餅大電影,たべっ子どうぶつ THE MOVIE,2025-05-01,ja,动画,0.9369,8.0,5,90,JP,matched,
334,日本,未完的情歌,2025-11-07,615469,2346,136770,1406894,tt37676059,未完的情歌,（LOVE SONG）,2025-10-31,ja,爱情,0.4906,0.0,0,118,JP,matched,
335,日本,電影版吸吸吸吸吸血鬼,2025-11-07,571349,2313,76050,1373310,tt34754710,電影版吸吸吸吸吸血鬼,ババンババンバンバンパイア,2025-07-04,ja,奇幻|爱情|喜剧,0.9957,7.2,9,106,JP,matched,
336,韓國,跟著貓走遇見愛,2025-11-07,153215,592,24274,1056230,tt35545691,跟著貓走遇見愛,고양이키스: 당신의 마음을 여는 순간,2025-02-05,ko,剧情,0.4788,3.0,1,120,KR,matched,
337,美國,終極戰士：殺戮星球,2025-11-06,52215974,179846,13074848,1242898,tt31227572,終極戰士：殺戮星球,Predator: Badlands,2025-11-05,en,动作|科幻|冒险,78.1629,7.7,2800,107,US,matched,
338,中華民國,蟲,2025-11-06,288217,1157,75666,1131460,tt32058418,蟲,蟲,2025-07-30,zh,剧情|惊悚,1.0118,6.8,3,120,FR|QA|TW|US,matched,
339,韓國,j-hope Tour 'HOPE ON THE STAGE' THE MOVIE,2025-11-03,2026640,3617,1878940,1555417,tt38573874,제이홉 투어 '홉 온 더 스테이지' 더 무비,제이홉 투어 '홉 온 더 스테이지' 더 무비,2025-11-12,ko,纪录|音乐,0.8316,10.0,1,90,KR,matched,
340,美國,暴蜂尼亞,2025-11-01,3262793,12215,1669706,701387,tt12300742,暴蜂尼亞,Bugonia,2025-10-23,en,科幻|惊悚|喜剧,12.9619,7.348,1853,119,IE|KR|US|CA,matched,
341,中華民國,左撇子女孩,2025-10-31,7123273,29317,1419208,999075,tt27722618,左撇子女孩,左撇子女孩,2025-09-17,zh,剧情,2.4522,7.3,161,109,FR|US|GB|TW|SG,matched,
342,泰國,鬼聲泣3,2025-10-31,6910578,26061,1726699,1410399,tt34704729,鬼聲泣3,ธี่หยด 3,2025-09-30,th,恐怖|动作|惊悚,1.1894,6.586,29,104,TH,matched,
343,韓國,咒你,2025-10-31,2240975,8375,482612,1420733,tt37024184,咒你,귀시,2025-09-17,ko,恐怖|惊悚,7.6242,6.0,8,97,KR,matched,
344,美國,只為你遺憾,2025-10-31,1706453,6565,400691,1327862,tt33088452,只為你遺憾,Regretting You,2025-10-22,en,爱情|剧情,9.6867,7.0,389,116,US|DE,matched,
345,日本,IDOLiSH7-偶像星願- First BEAT! 劇場版總集篇 前篇,2025-10-31,1485524,5483,354494,1555998,tt38605934,アイドリッシュセブン First BEAT! 劇場総集編 前編,アイドリッシュセブン First BEAT! 劇場総集編 前編,2025-10-03,ja,动画|音乐,0.4001,0.0,0,107,JP,matched,
346,美國,厄靈鎮,2025-10-31,518665,1923,74379,937941,tt14999684,厄靈鎮,Shelby Oaks,2025-10-02,en,恐怖|悬疑,3.313,5.673,245,91,US|BE,matched,
347,中華民國,新來的小朋友,2025-10-31,246260,1122,19192,1517582,,新來的小朋友,新來的小朋友,2025-10-31,zh,纪录,0.1102,0.0,0,0,TW,matched_without_imdb_id,
