"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
288217,"剧情",2025,120,6.8,3,1.0118,"Non_High_Revenue"
2026640,"纪录",2025,90,10,1,0.8316,"Non_High_Revenue"
3262793,"科幻",2025,119,7.348,1853,12.9619,"Non_High_Revenue"
7123273,"剧情",2025,109,7.3,161,2.4522,"High_Revenue"
6910578,"恐怖",2025,104,6.586,29,1.1894,"High_Revenue"
2240975,"恐怖",2025,97,6,8,7.6242,"Non_High_Revenue"
1706453,"爱情",2025,116,7,389,9.6867,"Non_High_Revenue"
1485524,"动画",2025,107,0,0,0.4001,"Non_High_Revenue"
518665,"恐怖",2025,91,5.673,245,3.313,"Non_High_Revenue"
246260,"纪录",2025,0,0,0,0.1102,"Non_High_Revenue"
38475084,"纪录",2025,106,10,1,0.3694,"High_Revenue"
1277518,"剧情",2025,114,0,0,0.5112,"Non_High_Revenue"
329241,"喜剧",2025,106,7.9,12,0.9779,"Non_High_Revenue"
7469575,"剧情",2025,125,7.2,8,2.1894,"High_Revenue"
243057,"剧情",2025,101,6.684,49,0.5234,"Non_High_Revenue"
6265813,"动画",2025,104,8.099,1727,11.5147,"High_Revenue"
861866,"动画",2025,93,7.7,27,2.459,"Non_High_Revenue"
839634,"爱情",2025,97,5,3,0.9821,"Non_High_Revenue"
550624,"爱情",2025,77,7.586,10147,9.9962,"Non_High_Revenue"
205557,"剧情",2025,137,6.688,746,3.6799,"Non_High_Revenue"
118119,"剧情",2025,102,6.957,235,1.2821,"Non_High_Revenue"
4458144,"动作",2025,109,6.672,309,3.8047,"Non_High_Revenue"
3387515,"恐怖",2025,98,7.6,7,1.4133,"Non_High_Revenue"
2263638,"悬疑",2025,127,6.7,3,2.4932,"Non_High_Revenue"
152727,"剧情",2025,99,8.475,255,7.3668,"Non_High_Revenue"
14028651,"纪录",2025,121,8,3,0.9848,"High_Revenue"
42816775,"剧情",2025,174,7.971,69,4.2465,"High_Revenue"
2099803,"喜剧",2025,115,7.54,151,2.4839,"Non_High_Revenue"
