"Model","Accuracy","Precision","Recall","F1_score"
"XGBoost",0.832602478551001,0.726701570680628,0.529366895499619,0.612533097969991
"Decision Tree",0.824213536701621,0.693918245264207,0.530892448512586,0.601555747623163
"Random Forest",0.825929456625357,0.704732510288066,0.522501906941266,0.600087604029785
"Logistic Regression",0.80419447092469,0.748251748251748,0.326468344774981,0.454593733404142
"Null Model",0.750047664442326,NA,0,NA
